City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
110,Cameta,98,BR,2022-07-16 22:10:45,67,-2.2444,-49.4958,82.26,4.72
111,Batticaloa,100,LK,2022-07-16 22:10:46,72,7.7102,81.6924,80.04,8.34
112,Port Alfred,1,ZA,2022-07-16 22:10:46,42,-33.5906,26.891,67.17,8.46
113,Castro,78,BR,2022-07-16 22:10:46,52,-24.7911,-50.0119,70.93,12.48
114,Yulara,52,AU,2022-07-16 22:10:47,28,-25.2406,130.9889,47.77,5.17
115,Lagoa Santa,0,BR,2022-07-16 22:10:47,43,-19.6272,-43.8897,74.37,4.61
116,Atbasar,48,KZ,2022-07-16 22:10:47,83,51.8,68.3333,64.31,18.77
117,Anloga,98,GH,2022-07-16 22:10:48,86,5.7947,0.8973,76.06,13.8
118,Gorontalo,100,ID,2022-07-16 22:10:48,92,0.5412,123.0595,74.1,2.13
119,Lorengau,13,PG,2022-07-16 22:10:49,76,-2.0226,147.2712,83.01,11.03
120,Punta Cardon,48,VE,2022-07-16 22:10:49,74,11.6581,-70.215,81.88,29.26
121,Naze,100,JP,2022-07-16 22:10:49,85,28.3667,129.4833,80.96,16.31
122,Abu Samrah,0,SY,2022-07-16 22:10:50,67,35.3029,37.1841,72.84,9.75
123,Alofi,47,NU,2022-07-16 22:10:50,65,-19.0595,-169.9187,78.24,19.24
124,Beroroha,0,MG,2022-07-16 22:10:50,65,-21.6667,45.1667,66.2,6.51
125,Hun,0,LY,2022-07-16 22:10:51,39,29.1268,15.9477,79.27,12.01
126,Engenheiro Beltrao,81,BR,2022-07-16 22:10:51,42,-23.7972,-52.2692,79.99,9.1
127,Port Hardy,100,CA,2022-07-16 22:10:51,89,50.6996,-127.4199,56.8,7.25
128,Honningsvag,75,NO,2022-07-16 22:10:52,87,70.9821,25.9704,51.55,12.66
129,Nagua,40,DO,2022-07-16 22:10:52,78,19.3832,-69.8474,82.45,11.5
130,Sioux Lookout,100,CA,2022-07-16 22:10:52,35,50.1001,-91.917,84.61,5.61
131,Adrar,85,MR,2022-07-16 22:10:53,7,20.5022,-10.0711,97.27,12.35
132,Geraldton,100,AU,2022-07-16 22:06:46,82,-28.7667,114.6,55.81,8.05
133,Ardmore,0,US,2022-07-16 22:08:56,29,34.1743,-97.1436,100.85,10.36
134,Victoria,100,HK,2022-07-16 22:07:06,87,22.2855,114.1577,86.38,11.01
135,Roma,0,US,2022-07-16 22:10:40,46,43.2128,-75.4557,84.69,6.91
136,Suffolk,100,US,2022-07-16 22:10:53,89,40.8668,-72.7996,78.71,3.44
137,Lokoja,100,NG,2022-07-16 22:10:54,93,7.8024,6.743,73.98,5.68
138,Pulandian,64,CN,2022-07-16 22:10:54,82,39.3953,121.9669,73.29,1.14
139,Aljezur,6,PT,2022-07-16 22:11:54,91,37.3191,-8.8033,66.09,8.03
140,Taltal,0,CL,2022-07-16 22:11:55,58,-25.4,-70.4833,58.6,6.51
141,North Bend,100,US,2022-07-16 22:11:55,83,43.4065,-124.2243,71.24,13.8
142,Honiara,16,SB,2022-07-16 22:10:31,70,-9.4333,159.95,82.92,8.72
143,Mareeba,40,AU,2022-07-16 22:11:56,89,-17.0,145.4333,64.44,2.98
144,Butaritari,100,KI,2022-07-16 22:11:56,79,3.0707,172.7902,80.37,14.54
145,Tura,41,IN,2022-07-16 22:11:56,92,25.5198,90.2201,75.43,4.81
146,Longyearbyen,0,SJ,2022-07-16 22:07:56,62,78.2186,15.6401,55.24,11.5
147,Erzin,6,TR,2022-07-16 22:11:57,89,36.9559,36.2,74.21,1.16
148,Yakeshi,100,CN,2022-07-16 22:11:57,94,49.2833,120.7333,64.2,2.42
149,Kangaatsiaq,92,GL,2022-07-16 22:11:57,90,68.3065,-53.4641,40.3,5.79
150,Cidreira,53,BR,2022-07-16 22:11:58,96,-30.1811,-50.2056,65.44,7.27
151,Touros,23,BR,2022-07-16 22:11:58,90,-5.1989,-35.4608,75.43,14.54
152,Lichinga,6,MZ,2022-07-16 22:11:59,81,-13.3128,35.2406,49.55,4.18
153,Xichang,99,CN,2022-07-16 22:11:59,91,27.8964,102.2634,68.67,1.48
154,Broome,20,US,2022-07-16 22:11:59,53,42.2506,-75.833,84.09,8.05
155,Port Elizabeth,21,ZA,2022-07-16 22:12:00,35,-33.918,25.5701,65.71,10.31
156,Carlisle,90,US,2022-07-16 22:08:30,63,40.2015,-77.1889,81.01,1.01
157,Saint-Philippe,37,RE,2022-07-16 22:12:00,77,-21.3585,55.7679,69.39,13.73
158,Gongzhuling,11,CN,2022-07-16 22:12:01,93,43.5008,124.8198,66.0,1.14
159,Yar-Sale,3,RU,2022-07-16 22:12:01,67,66.8333,70.8333,52.23,6.87
160,Pangai,90,TO,2022-07-16 22:07:19,65,-19.8,-174.35,78.4,15.1
161,Sahiwal,76,PK,2022-07-16 22:12:01,62,30.6667,73.1,88.38,2.71
162,Thompson,99,CA,2022-07-16 22:12:02,22,55.7435,-97.8558,91.4,2.26
163,Hofn,75,IS,2022-07-16 22:10:59,89,64.2539,-15.2082,51.04,9.73
164,Khatanga,27,RU,2022-07-16 22:12:02,58,71.9667,102.5,59.38,6.02
165,Elko,3,US,2022-07-16 22:12:02,15,41.0002,-115.5012,96.82,10.0
166,Vilhena,66,BR,2022-07-16 22:12:03,40,-12.7406,-60.1458,81.36,2.01
167,Lavrentiya,73,RU,2022-07-16 22:12:03,64,65.5833,-171.0,50.63,7.4
168,Atlantic City,40,US,2022-07-16 22:08:03,68,39.3643,-74.4229,82.02,6.91
169,Riyadh,99,SA,2022-07-16 22:07:06,11,24.6877,46.7219,89.74,11.97
170,Poya,1,NC,2022-07-16 22:12:04,61,-21.35,165.15,67.86,7.0
171,Tessalit,98,ML,2022-07-16 22:12:04,14,20.1986,1.0114,95.88,11.27
172,Nishihara,75,JP,2022-07-16 22:12:04,94,26.1842,127.7558,83.86,8.05
173,Koslan,0,RU,2022-07-16 22:12:05,90,63.4564,48.8989,53.91,4.63
174,Key West,0,US,2022-07-16 22:11:04,65,24.5557,-81.7826,91.4,6.91
175,Ahipara,24,NZ,2022-07-16 22:12:05,66,-35.1667,173.1667,56.23,4.88
176,Ous,100,RU,2022-07-16 22:12:05,83,60.9058,61.5186,63.27,4.36
177,Sao Joao Da Barra,98,BR,2022-07-16 22:09:15,82,-21.6403,-41.0511,72.41,18.77
178,Laguna,0,US,2022-07-16 22:12:06,21,38.421,-121.4238,107.76,4.61
179,Vila Franca Do Campo,2,PT,2022-07-16 22:12:06,89,37.7167,-25.4333,70.21,6.69
180,Ayagoz,43,KZ,2022-07-16 22:12:07,34,47.9714,80.4392,69.82,7.72
181,Chuy,99,UY,2022-07-16 22:12:07,94,-33.6971,-53.4616,48.51,14.27
182,San Patricio,7,US,2022-07-16 22:12:07,43,28.017,-97.5169,94.17,16.98
183,Itinga,3,BR,2022-07-16 22:12:08,49,-16.6131,-41.7653,74.05,5.44
184,Pizhanka,15,RU,2022-07-16 22:13:08,76,57.4604,48.542,59.09,2.84
185,Ca Mau,55,VN,2022-07-16 22:13:08,93,9.1769,105.15,76.5,3.98
186,Muisne,100,EC,2022-07-16 22:13:09,85,0.6,-80.0333,74.44,8.79
187,Wilmington Island,40,US,2022-07-16 22:13:09,69,32.0036,-80.9737,86.99,9.22
188,Luwuk,100,ID,2022-07-16 22:13:09,90,-0.9516,122.7875,75.56,5.06
189,Mawlaik,34,MM,2022-07-16 22:13:10,90,23.6333,94.4167,77.81,1.21
190,Zaozhuang,100,CN,2022-07-16 22:13:10,95,34.8647,117.5542,76.71,4.68
191,Lazarev,90,RU,2022-07-16 22:13:10,85,52.225,141.5131,56.84,13.11
192,Santa Isabel Do Rio Negro,91,BR,2022-07-16 22:13:11,76,-0.4139,-65.0192,80.64,2.44
193,Auki,57,SB,2022-07-16 22:13:11,75,-8.7676,160.7034,81.14,4.83
194,Saint-Augustin,39,CA,2022-07-16 22:09:02,50,51.226,-58.6502,66.67,4.14
195,Aykhal,100,RU,2022-07-16 22:13:11,92,66.0,111.5,49.03,16.87
196,Umba,18,RU,2022-07-16 22:13:12,84,66.6871,34.3429,53.35,5.14
197,Ilulissat,56,GL,2022-07-16 22:08:37,54,69.2167,-51.1,51.82,6.91
198,Kara-Tyube,3,RU,2022-07-16 22:13:12,72,44.6336,45.4369,75.15,4.88
199,Emilio Carranza,90,MX,2022-07-16 22:13:13,65,19.9711,-96.6114,85.48,12.73
200,College,75,US,2022-07-16 22:13:13,78,64.8569,-147.8028,64.2,3.44
201,Huangchuan,95,CN,2022-07-16 22:13:13,93,32.1272,115.0394,78.85,4.59
202,Port Hedland,19,AU,2022-07-16 22:13:14,58,-20.3167,118.5667,53.65,8.05
203,Vangaindrano,64,MG,2022-07-16 22:13:14,89,-23.35,47.6,66.15,5.37
204,Alice Springs,4,AU,2022-07-16 22:13:14,47,-23.7,133.8833,31.55,6.91
205,Yatou,91,CN,2022-07-16 22:13:15,75,37.15,122.3833,75.52,9.04
206,Saldanha,17,ZA,2022-07-16 22:09:34,46,-33.0117,17.9442,62.94,10.25
207,Aklavik,100,CA,2022-07-16 22:13:15,82,68.2191,-135.0107,57.2,3.44
208,Ponta Do Sol,28,PT,2022-07-16 22:09:32,79,32.6667,-17.1,73.0,5.91
209,Iskateley,100,RU,2022-07-16 22:13:15,95,67.6803,53.1512,66.02,8.66
210,Henderson,40,US,2022-07-16 22:13:16,14,36.0397,-114.9819,111.83,8.05
211,Puerto Rondon,82,CO,2022-07-16 22:13:16,77,6.2805,-71.1,83.05,4.18
212,Hualmay,43,PE,2022-07-16 22:13:16,78,-11.0964,-77.6139,62.83,12.19
213,Fairbanks,75,US,2022-07-16 22:11:47,78,64.8378,-147.7164,64.22,3.44
214,Kitoy,9,RU,2022-07-16 22:13:17,88,52.6,103.9,47.28,2.95
215,Correntina,1,BR,2022-07-16 22:13:17,38,-13.3433,-44.6367,73.33,3.29
216,Birin,53,NP,2022-07-16 22:13:18,86,26.8865,88.0718,65.16,3.98
217,Villazon,0,BO,2022-07-16 22:13:18,5,-22.0866,-65.5942,45.28,11.99
218,Havoysund,100,NO,2022-07-16 22:13:18,98,70.9963,24.6622,52.03,15.86
219,Nelson Bay,3,AU,2022-07-16 22:13:19,78,-32.7167,152.15,53.01,4.0
220,Dingle,98,PH,2022-07-16 22:13:19,92,10.9995,122.6711,75.96,4.16
221,Hobart,75,AU,2022-07-16 22:08:58,86,-42.8794,147.3294,51.66,10.36
222,Adelaide,75,AU,2022-07-16 22:13:19,92,-34.9333,138.6,54.86,14.97
223,Zhigansk,100,RU,2022-07-16 22:13:20,92,66.7697,123.3711,47.32,14.74
224,Hasaki,100,JP,2022-07-16 22:13:20,89,35.7333,140.8333,75.6,18.54
225,Bibiani,97,GH,2022-07-16 22:13:20,99,6.4635,-2.3194,70.07,2.89
226,Turayf,0,SA,2022-07-16 22:13:21,36,31.6725,38.6637,78.44,11.95
227,Jeremie,27,HT,2022-07-16 22:13:21,71,18.65,-74.1167,83.88,4.18
228,La Ronge,68,CA,2022-07-16 22:13:21,59,55.1001,-105.2842,73.53,4.41
229,Mayo,75,US,2022-07-16 22:13:22,89,38.8876,-76.5119,81.97,5.01
230,Bilibino,53,RU,2022-07-16 22:13:22,64,68.0546,166.4372,54.68,18.37
231,Loa Janan,63,ID,2022-07-16 22:13:22,99,-0.583,117.095,72.79,2.86
232,Iqaluit,100,CA,2022-07-16 22:13:23,45,63.7506,-68.5145,63.7,18.01
233,Porto Velho,40,BR,2022-07-16 22:14:23,62,-8.7619,-63.9039,86.05,3.44
234,Waiuku,1,NZ,2022-07-16 22:14:23,74,-37.25,174.75,55.67,1.34
235,Sao Filipe,14,CV,2022-07-16 22:14:24,84,14.8961,-24.4956,75.52,6.8
236,La Romana,75,DO,2022-07-16 22:10:59,70,18.4273,-68.9728,88.16,9.22
237,Primero De Enero,99,CU,2022-07-16 22:14:24,70,21.9469,-78.4283,85.95,8.55
238,Labuhan,74,ID,2022-07-16 22:14:25,88,-6.8844,112.2051,75.49,10.07
239,Zyryanka,99,RU,2022-07-16 22:14:25,64,65.75,150.85,61.48,9.57
240,Nantucket,20,US,2022-07-16 22:09:41,83,41.2835,-70.0995,75.34,11.5
241,Soyo,4,AO,2022-07-16 22:14:25,92,-6.1349,12.3689,70.02,7.34
242,Mount Gambier,83,AU,2022-07-16 22:14:26,88,-37.8333,140.7667,48.18,11.34
243,Khandyga,59,RU,2022-07-16 22:12:17,72,62.6667,135.6,75.83,2.08
244,Inirida,64,CO,2022-07-16 22:14:26,90,3.8653,-67.9239,78.71,2.75
245,Codrington,95,AU,2022-07-16 22:14:26,89,-38.2667,141.9667,49.62,15.05
246,Kurayoshi,10,JP,2022-07-16 22:14:27,86,35.4333,133.8167,73.31,4.05
247,Avera,83,US,2022-07-16 22:14:27,53,33.194,-82.5271,87.55,7.45
248,Carbonia,0,IT,2022-07-16 22:14:27,56,39.1672,8.5222,81.01,4.32
249,Paraiso,28,CR,2022-07-16 22:14:28,75,9.8383,-83.8656,77.86,4.79
250,Goderich,75,CA,2022-07-16 22:14:28,64,43.7501,-81.7165,74.91,7.99
251,Campos Novos,97,BR,2022-07-16 22:14:28,85,-27.4017,-51.225,63.68,9.48
252,Severo-Kurilsk,100,RU,2022-07-16 22:14:29,92,50.6789,156.125,54.46,5.73
253,Garowe,28,SO,2022-07-16 22:09:55,52,8.4054,48.4845,77.68,28.92
254,Airai,79,TL,2022-07-16 22:14:29,92,-8.9266,125.4092,54.41,3.98
255,Dauriya,100,RU,2022-07-16 22:14:30,97,49.9333,116.8667,62.58,3.09
256,Pacific Grove,0,US,2022-07-16 22:11:21,82,36.6177,-121.9166,83.25,10.36
257,Maralal,76,KE,2022-07-16 22:14:30,79,1.0968,36.698,58.08,3.58
258,Faya,53,SA,2022-07-16 22:14:30,44,18.3851,42.4509,66.72,5.26
259,Coihaique,100,CL,2022-07-16 22:13:02,80,-45.5752,-72.0662,36.21,4.61
260,Ostrovnoy,99,RU,2022-07-16 22:14:31,92,68.0531,39.5131,56.79,7.45
261,Raga,29,SS,2022-07-16 22:14:31,97,8.4596,25.678,68.92,3.89
262,Acarau,13,BR,2022-07-16 22:14:31,80,-2.8856,-40.12,79.25,15.95
263,Paamiut,90,GL,2022-07-16 22:14:32,84,61.994,-49.6678,41.5,10.18
264,Sire,89,NG,2022-07-16 22:14:32,81,12.9299,5.2043,77.09,4.97
265,West Bay,20,KY,2022-07-16 22:14:32,71,19.3667,-81.4167,88.05,5.01
266,Nago,100,JP,2022-07-16 22:14:33,83,26.5881,127.9761,84.63,9.8
267,Nanga Eboko,100,CM,2022-07-16 22:14:33,97,4.6833,12.3667,67.93,3.6
268,Sao Felix Do Xingu,42,BR,2022-07-16 22:14:33,46,-6.6447,-51.995,80.33,0.69
269,Ransang,100,PH,2022-07-16 22:14:34,84,8.9603,117.5828,78.84,2.17
270,Cockburn Town,78,TC,2022-07-16 22:14:34,85,21.4612,-71.1419,81.66,20.49
271,Bati,95,ET,2022-07-16 22:14:34,63,11.1833,40.0167,70.25,6.2
272,Adre,100,TD,2022-07-16 22:14:35,70,13.4667,22.2,77.34,7.72
273,Les Cayes,1,HT,2022-07-16 22:14:35,67,18.2,-73.75,84.42,10.25
274,Grand Gaube,4,MU,2022-07-16 22:14:35,77,-20.0064,57.6608,66.38,1.99
275,Sanmenxia,51,CN,2022-07-16 22:14:36,77,34.7747,111.1814,72.43,3.67
276,Meridian,0,US,2022-07-16 22:13:22,18,43.6121,-116.3915,102.85,6.91
277,Akyab,49,MM,2022-07-16 22:14:36,87,20.15,92.9,80.53,13.15
278,Bubaque,35,GW,2022-07-16 22:14:36,83,11.2833,-15.8333,80.98,12.66
279,Celestun,99,MX,2022-07-16 22:14:37,65,20.8667,-90.4,84.83,16.2
280,Bambous Virieux,65,MU,2022-07-16 22:14:37,72,-20.3428,57.7575,66.22,17.38
281,Alta Floresta,20,BR,2022-07-16 22:15:37,69,-9.8756,-56.0861,82.22,0.0
282,Bolanos De Calatrava,0,ES,2022-07-16 22:15:38,21,38.9069,-3.6635,89.73,10.0
283,Shellbrook,1,CA,2022-07-16 22:15:38,42,53.2168,-106.4011,83.43,8.37
284,Liverpool,0,GB,2022-07-16 22:15:38,73,53.4106,-2.9779,66.74,4.61
285,Altamira,78,BR,2022-07-16 22:15:39,75,-3.2033,-52.2064,77.56,2.66
286,Tire,0,TR,2022-07-16 22:15:39,49,38.0888,27.7351,73.62,8.25
287,Novikovo,50,RU,2022-07-16 22:15:39,73,51.1537,37.8879,62.04,6.08
288,Portland,75,US,2022-07-16 22:13:12,64,45.5234,-122.6762,76.62,9.22
289,Gallatin,0,US,2022-07-16 22:15:40,27,45.6666,-111.2008,90.57,3.0
290,Banda Aceh,98,ID,2022-07-16 22:15:40,79,5.5577,95.3222,79.41,8.95
291,Kalispell,0,US,2022-07-16 22:15:41,27,48.1958,-114.3129,90.77,11.01
292,Great Malvern,100,GB,2022-07-16 22:15:41,65,52.1116,-2.3252,69.39,1.01
293,Magadan,100,RU,2022-07-16 22:15:41,94,59.5667,150.8,56.41,4.85
294,Hay River,100,CA,2022-07-16 22:15:42,60,60.8156,-115.7999,69.78,5.75
295,Tocoa,100,HN,2022-07-16 22:15:42,72,15.6833,-86.0,87.42,4.7
