City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Ribeira Grande,PT,38.5167,-28.7,72.12,91,21,0.96,few clouds
111,Sept-Iles,CA,50.2001,-66.3821,62.06,90,77,3.0,broken clouds
112,Logrono,ES,42.4667,-2.45,80.1,44,0,11.5,clear sky
113,Goundam,ML,16.4145,-3.6708,92.35,40,31,3.4,scattered clouds
114,Noshiro,JP,40.2039,140.0242,72.43,95,100,4.85,moderate rain
115,Sitka,US,57.0531,-135.33,55.29,88,100,4.61,overcast clouds
116,Severo-Kurilsk,RU,50.6789,156.125,57.38,86,81,9.46,broken clouds
117,Port Macquarie,AU,-31.4333,152.9167,59.9,65,7,12.21,clear sky
118,Berbera,SO,10.4396,45.0143,88.9,40,100,31.81,overcast clouds
119,Chuy,UY,-33.6971,-53.4616,45.84,88,82,3.49,broken clouds
120,Surgut,RU,61.25,73.4167,66.38,72,0,7.0,clear sky
121,Alyangula,AU,-13.8483,136.4192,77.77,54,14,9.46,few clouds
122,Mahebourg,MU,-20.4081,57.7,68.29,73,40,17.27,scattered clouds
123,Gerash,IR,27.6652,54.1371,87.89,47,100,2.26,overcast clouds
124,Kalanguy,RU,51.0167,116.5167,76.73,41,0,2.93,clear sky
125,Zhuanghe,CN,39.7008,122.9911,80.98,67,38,1.86,scattered clouds
126,Klaksvik,FO,62.2266,-6.589,52.72,90,89,16.44,overcast clouds
127,Airai,TL,-8.9266,125.4092,67.68,40,43,3.33,scattered clouds
128,Duayaw Nkwanta,GH,7.1724,-2.1028,65.14,97,95,3.04,overcast clouds
129,Lavrentiya,RU,65.5833,-171.0,37.78,94,99,19.86,light rain
130,Gobabis,NA,-22.45,18.9667,47.14,50,0,12.3,clear sky
131,Aksay,RU,47.26,39.87,53.82,58,0,6.73,clear sky
132,Henties Bay,NA,-22.116,14.2845,56.57,93,1,9.04,clear sky
133,Thinadhoo,MV,0.5333,72.9333,83.52,72,99,11.65,heavy intensity rain
134,Barrow,US,71.2906,-156.7887,42.82,81,100,14.97,overcast clouds
135,Port-Gentil,GA,-0.7193,8.7815,74.17,77,100,12.06,overcast clouds
136,Kedrovyy,RU,56.1667,91.8167,57.87,98,100,10.98,moderate rain
137,Capreol,CA,46.706,-80.9225,70.12,70,14,8.52,few clouds
138,Alta Floresta,BR,-9.8756,-56.0861,70.95,40,4,4.65,clear sky
139,Caravelas,BR,-17.7125,-39.2481,69.66,87,20,5.37,few clouds
140,Narsaq,GL,60.9167,-46.05,48.42,75,15,1.43,few clouds
141,Kuala Terengganu,MY,5.3302,103.1408,81.72,82,99,2.35,heavy intensity rain
142,Aksarka,RU,66.5606,67.7975,64.27,58,97,8.39,overcast clouds
143,Kinna,SE,57.5073,12.6946,61.45,98,54,4.56,broken clouds
144,San Andres,CO,12.5847,-81.7006,82.42,83,40,14.97,scattered clouds
145,Sajanan,TN,37.0573,9.2426,80.15,42,0,6.51,clear sky
146,Bengkulu,ID,-3.8004,102.2655,81.32,73,20,1.54,few clouds
147,Zhigansk,RU,66.7697,123.3711,51.31,82,99,16.96,overcast clouds
148,Yanam,IN,16.7333,82.2167,82.31,78,97,4.52,overcast clouds
149,Borgo San Lorenzo,IT,43.9553,11.3835,76.26,38,2,5.59,clear sky
150,Ariquemes,BR,-9.9133,-63.0408,74.52,52,4,2.08,clear sky
151,Farafenni,GM,13.5667,-15.6,78.58,81,92,6.62,light rain
152,Long Beach,US,33.767,-118.1892,89.31,73,0,9.22,clear sky
153,Saint-Philippe,RE,-21.3585,55.7679,67.59,71,68,19.64,light rain
154,Mkushi,ZM,-13.6202,29.3939,52.99,79,1,6.89,clear sky
155,Viedma,AR,-40.8135,-62.9967,41.0,38,46,10.42,scattered clouds
156,Mount Gambier,AU,-37.8333,140.7667,51.17,56,56,6.44,broken clouds
157,Ambon,ID,-3.6954,128.1814,77.14,88,75,3.44,broken clouds
158,Gamba,GA,-2.65,10.0,70.77,91,100,4.25,overcast clouds
159,Lesnikovo,RU,55.2822,65.3175,66.11,76,0,3.58,clear sky
160,Takab,IR,36.4009,47.1133,69.89,28,0,8.68,clear sky
161,Cape Town,ZA,-33.9258,18.4232,55.9,81,0,8.01,clear sky
162,Khandyga,RU,62.6667,135.6,80.13,42,96,10.67,overcast clouds
163,Oranjemund,NA,-28.55,16.4333,54.19,95,8,6.17,clear sky
164,Sangar,RU,63.9242,127.4739,79.3,57,60,8.88,broken clouds
165,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,2.3,clear sky
166,Castro,BR,-24.7911,-50.0119,57.11,99,100,3.0,overcast clouds
167,East London,ZA,-33.0153,27.9116,67.86,37,4,11.27,clear sky
168,Tabas,IR,33.5959,56.9244,86.85,11,0,4.72,clear sky
169,Avera,US,33.194,-82.5271,82.54,61,100,8.48,overcast clouds
170,Hearst,CA,49.6835,-83.6665,64.56,95,27,2.77,scattered clouds
171,Labuan,MY,5.2767,115.2417,81.54,68,100,4.79,overcast clouds
172,Rongcheng,CN,30.634,117.8517,90.93,61,100,1.25,overcast clouds
173,Laguna,US,38.421,-121.4238,101.44,21,0,6.91,clear sky
174,Mount Isa,AU,-20.7333,139.5,74.97,31,0,12.66,clear sky
175,Grand Gaube,MU,-20.0064,57.6608,68.4,68,45,7.0,scattered clouds
176,Naze,JP,28.3667,129.4833,83.12,80,100,16.87,overcast clouds
177,San Quintin,MX,30.4833,-115.95,71.29,73,1,8.43,clear sky
178,Ilo,PE,-17.6394,-71.3375,60.55,81,96,6.53,overcast clouds
179,Lamar,US,33.6668,-95.5836,94.64,40,0,6.91,clear sky
180,Cherskiy,RU,68.75,161.3,56.08,52,91,16.96,overcast clouds
181,Usinsk,RU,65.9939,57.5281,67.8,69,17,7.34,few clouds
182,Peniche,PT,39.3558,-9.3811,68.29,87,7,8.39,clear sky
183,Tankhoy,RU,51.5528,105.1306,58.57,99,100,6.49,overcast clouds
184,Hithadhoo,MV,-0.6,73.0833,82.78,74,98,10.07,overcast clouds
185,Ghanzi,BW,-21.5667,21.7833,50.22,57,0,7.14,clear sky
186,Khatanga,RU,71.9667,102.5,52.7,65,100,15.57,overcast clouds
187,Danilov,RU,58.1908,40.1717,53.47,94,99,8.28,overcast clouds
188,Nanortalik,GL,60.1432,-45.2371,46.35,80,75,8.79,broken clouds
189,Rawson,AR,-43.3002,-65.1023,43.05,48,0,13.65,clear sky
190,Altay,CN,47.8667,88.1167,63.75,50,0,4.21,clear sky
191,Lompoc,US,34.6391,-120.4579,86.14,67,0,11.5,clear sky
192,Roald,NO,62.5833,6.1333,54.91,87,100,10.36,overcast clouds
193,Georgetown,MY,5.4112,100.3354,79.9,93,40,4.61,scattered clouds
194,Egra,CZ,50.0796,12.3739,67.05,59,16,2.46,few clouds
195,Fernie,CA,49.5,-115.0687,68.99,46,91,3.76,overcast clouds
196,Homer,US,59.6425,-151.5483,62.47,71,0,11.5,clear sky
197,Kemin,KG,42.7846,75.6892,72.86,45,0,1.19,clear sky
198,Esterhazy,CA,50.65,-102.0843,74.43,84,100,9.66,overcast clouds
199,Kralendijk,BQ,12.15,-68.2667,80.58,83,2,14.97,clear sky
200,Makakilo City,US,21.3469,-158.0858,82.72,61,100,18.41,overcast clouds
201,Tuburan,PH,6.6439,122.2736,84.29,78,100,7.29,overcast clouds
202,Hasaki,JP,35.7333,140.8333,84.6,81,100,12.28,overcast clouds
203,Poya,NC,-21.35,165.15,77.65,77,98,9.78,light rain
204,Kysyl-Syr,RU,63.8986,122.7617,68.0,94,100,5.39,light rain
205,Lieksa,FI,63.3167,30.0167,53.22,89,100,4.94,overcast clouds
206,Gat,IL,31.61,34.7642,79.39,100,0,1.45,clear sky
207,Mnogovershinnyy,RU,53.9353,139.9242,53.31,96,100,6.44,overcast clouds
208,Batemans Bay,AU,-35.7167,150.1833,53.1,64,100,10.47,overcast clouds
209,Yarmouth,US,41.7057,-70.2286,75.97,94,100,13.8,overcast clouds
210,Pangnirtung,CA,66.1451,-65.7125,46.35,79,100,2.1,overcast clouds
211,Ulladulla,AU,-35.35,150.4667,48.7,79,100,12.28,overcast clouds
212,Mwinilunga,ZM,-11.7358,24.4293,50.2,69,5,3.18,clear sky
213,Miyako,JP,39.6367,141.9525,76.86,76,100,4.54,overcast clouds
214,Nizhniy Baskunchak,RU,48.2198,46.8311,69.75,48,2,11.5,clear sky
215,Adil-Yangiyurt,RU,43.5633,46.5846,75.76,53,93,9.78,overcast clouds
216,Lingao,CN,19.9103,109.6859,86.52,73,100,4.7,overcast clouds
217,Atar,MR,20.5169,-13.0499,91.65,36,8,6.64,clear sky
218,Grafton,US,42.207,-71.6856,75.15,86,100,4.0,overcast clouds
219,Tautira,PF,-17.7333,-149.15,76.39,71,19,3.91,light rain
220,Norman Wells,CA,65.282,-126.8329,64.44,88,75,4.61,broken clouds
221,Codrington,AU,-38.2667,141.9667,51.26,58,12,9.42,few clouds
222,Arraial Do Cabo,BR,-22.9661,-42.0278,69.91,90,100,14.85,overcast clouds
223,Torbay,CA,47.6666,-52.7314,64.58,83,100,5.99,overcast clouds
224,Arroyo,ES,41.6096,-4.7969,74.59,60,0,4.61,clear sky
225,Port-Cartier,CA,50.0334,-66.8654,61.75,93,95,1.81,overcast clouds
226,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,0,5.12,clear sky
227,Sistranda,NO,63.7256,8.834,51.76,86,97,14.88,overcast clouds
228,Belmonte,BR,-15.8631,-38.8828,72.1,83,79,8.28,broken clouds
229,Nome,US,64.5011,-165.4064,44.67,77,100,32.21,light rain
230,Bathsheba,BB,13.2167,-59.5167,81.21,87,20,20.71,few clouds
231,Longyearbyen,SJ,78.2186,15.6401,53.44,66,75,11.5,broken clouds
232,Fonte Boa,BR,-2.4959,-66.2662,75.42,91,60,0.65,broken clouds
233,Chara,RU,56.9064,118.2631,63.88,73,97,2.91,overcast clouds
234,Erdenet,MN,49.0333,104.0833,66.13,57,99,2.98,overcast clouds
235,Saint-Augustin,CA,51.226,-58.6502,63.52,65,47,5.55,scattered clouds
236,Yuli,NG,9.6989,10.2744,72.99,88,89,1.86,overcast clouds
237,At-Bashi,KG,41.1702,75.8106,65.66,30,0,2.8,clear sky
238,Kavaratti,IN,10.5669,72.642,80.73,82,100,22.15,overcast clouds
239,Pringsewu,ID,-5.3582,104.9744,80.83,81,13,1.25,few clouds
240,Lasa,IT,46.6166,10.7002,64.36,85,23,0.89,few clouds
241,La Libertad,EC,-2.2333,-80.9,67.66,88,100,11.5,overcast clouds
242,Marzuq,YE,14.4,46.4667,78.17,50,100,7.83,overcast clouds
243,Aripuana,BR,-9.1667,-60.6333,74.5,47,0,2.68,clear sky
244,Geraldton,AU,-28.7667,114.6,59.41,82,0,13.8,clear sky
245,Labrea,BR,-7.2586,-64.7981,78.58,70,92,2.13,overcast clouds
