City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Carauari,BR,79.47,overcast clouds,-4.8828,-66.8958,Hotel Fellip
366,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
367,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
368,Las Choapas,MX,78.44,overcast clouds,17.9333,-94.0833,Hotel Jysmak
370,Atambua,ID,78.12,broken clouds,-9.1061,124.8925,Kost Alfa Flat
373,Limoeiro Do Ajuru,BR,78.28,overcast clouds,-1.8953,-49.3806,Hotel Dalva
377,Wajir,KE,71.19,broken clouds,1.7471,40.0573,Mahatallah Hotel
378,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
379,Sola,VU,80.98,few clouds,-13.8833,167.55,Leumerus Bungalows
380,Wuwei,CN,72.54,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
384,Huilong,CN,82.2,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
386,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
392,Zhezkazgan,KZ,73.38,clear sky,47.8043,67.7144,Hotel Zumrat
396,Mizdah,LY,71.04,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
397,Waingapu,ID,82.09,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
400,Alenquer,BR,76.66,overcast clouds,-1.9417,-54.7383,Detinha Hotel
403,Manica,FR,79.0,clear sky,49.0,-1.1667,Gite Lily
406,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
407,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
409,Casablanca,MA,73.33,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
412,Abnub,EG,82.08,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
414,Shenjiamen,CN,80.06,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
420,Orangeburg,US,82.69,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
422,Half Moon Bay,US,81.91,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
423,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
425,Nara,JP,83.57,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
426,Cacu,BR,70.03,overcast clouds,-18.5567,-51.1308,Império Hotel
427,Ratnagiri,IN,79.41,overcast clouds,16.9833,73.3,Hotel Landmark
430,Portland,US,79.84,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
435,Marsh Harbour,BS,82.36,clear sky,26.5412,-77.0636,Abaco Beach Resort
439,Piacenza,IT,75.29,clear sky,45.0468,9.6994,Best Western Park Hotel
440,Fengrun,CN,84.45,overcast clouds,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
443,Labuhan,ID,81.81,broken clouds,-6.8844,112.2051,DoubleFAG
448,Harpanahalli,IN,71.42,overcast clouds,14.8,75.9833,Bismillah Biriyani Hotel
449,Les Cayes,HT,78.87,clear sky,18.2,-73.75,Villa Orphee
452,Qostanay,KZ,70.09,clear sky,53.1667,63.5833,Hotel Fessla
457,Along,IN,75.74,light rain,28.1667,94.7667,Hotel West
458,Puerto Escondido,MX,80.98,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
460,Paris,FR,81.37,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
462,Kelowna,CA,84.16,scattered clouds,49.8831,-119.4857,Delta Hotels by Marriott Grand Okanagan Resort
468,Northam,GB,71.55,scattered clouds,51.0333,-4.2167,Durrant House Hotel
469,Trincomalee,LK,79.92,broken clouds,8.5711,81.2335,Welcombe Hotel
470,Chake Chake,TZ,72.19,broken clouds,-5.2459,39.7666,Hotel Archipelago
472,Hamilton,US,75.72,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
476,Veraval,IN,80.53,overcast clouds,20.9,70.3667,Lords Inn Somnath
478,Nouakchott,MR,78.73,few clouds,18.0858,-15.9785,HOTEL IMAN
480,Jalu,LY,78.19,clear sky,29.0331,21.5482,صاحبة الفخامة
481,Swan River,CA,76.89,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
482,Kamaishi,JP,75.52,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
483,Awbari,LY,78.84,clear sky,26.5921,12.7805,فندق أوباري
484,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
487,Quebec,CA,71.24,light rain,46.8123,-71.2145,Hilton Quebec
490,Axim,GH,74.8,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
492,Anjiang,CN,77.25,overcast clouds,27.3194,110.1031,Dahua Hotel
494,Pontianak,ID,84.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
496,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,hotel la terminal
